comment_id,qid,body,posted_by
02378c44-e917-4b48-a8b4-a377df4e317e,1ff0135e-e915-4745-b5d5-dffa832749fb,wa suwanai sake wa tashinamu teido                                                                                                                                                                                                                              ,6f352cc4-5329-4977-992c-0250a68c70b6
10de803b-fc9e-46a9-b9d2-79eb872a49f5,3fa95cce-e590-4102-9a49-6ccd95a5d5cf,jibun no kōfukuda                                                                                                                                                                                                                                               ,37ee18d2-0917-4a2e-8b07-d380dd3c7ae0
1a2e473d-dd30-4bf0-a94a-5f6f074bda97,194d374f-1afa-43d8-a9b1-5cb85cd9fac9,moriōchō hokutō-bu no bessō chitai ni ari                                                                                                                                                                                                                       ,48ef54ce-9740-4f39-be07-dfa839910b0b
1ed4b858-c1ea-4f94-bc69-0eae9f6ba784,3596bde5-5dd7-4d55-aae0-e30ea1a4334f,kachimake ni kodawattari                                                                                                                                                                                                                                        ,f60655cd-0b60-4353-819d-33cddbf459ee
320d9ad1-de95-497d-8e6a-b1149b6d158d,1ced23b0-3ef0-46c2-9ddb-1248db2b7003,shigoto wa kameyūchēn-ten                                                                                                                                                                                                                                       ,58b2b648-61ed-4f0b-abb4-f54d5bd19ba0
32a31617-b4b3-479c-a6b1-81e0ad590560,09bbeb23-b161-4666-80f7-1a451cc07820,to telos arxizeiiii to telos arxizeiiik to telos arxizei                                                                                                                                                                                                        ,37ee18d2-0917-4a2e-8b07-d380dd3c7ae0
427eda61-3338-4a93-a38b-36a8cb0d1267,03e416cc-203f-46b9-9300-3e320c3d5d75,Giorno Giovanna                                                                                                                                                                                                                                                 ,2be458bf-f1c3-4393-99ea-58bab9865dea
4423481f-5667-4b57-9229-b3a011566146,00abeb37-e788-4fb9-937a-54ea98914175,Kratos thimos                                                                                                                                                                                                                                                   ,17d722aa-dcbe-4f9a-a517-9bd34b355809
47f4dd86-fb12-4355-b43a-18ed30ce63ae,242d8dd7-97d4-4691-9b7d-faf4c4ce658a,nerumae ni atatakai miruku o nomi                                                                                                                                                                                                                               ,8686702a-5f5e-4917-8fd2-01eb7a0369f6
4f306951-0f95-4f8c-83c5-0a588738406f,1ced23b0-3ef0-46c2-9ddb-1248db2b7003,no kaishain de mainichi osokutomo                                                                                                                                                                                                                               ,6a5593af-3a51-4ffe-b2c1-852d1d51f42c
